Filename,Predicted Label
sick_eff0.png,NORMAL
sick_eff1.png,NORMAL
sick_eff10.png,NORMAL
sick_eff100.png,NORMAL
sick_eff101.png,NORMAL
sick_eff102.png,NORMAL
sick_eff103.png,NORMAL
sick_eff104.png,NORMAL
sick_eff105.png,NORMAL
sick_eff106.png,NORMAL
sick_eff107.png,NORMAL
sick_eff108.png,NORMAL
sick_eff109.png,NORMAL
sick_eff11.png,NORMAL
sick_eff110.png,NORMAL
sick_eff111.png,NORMAL
sick_eff12.png,NORMAL
sick_eff13.png,NORMAL
sick_eff14.png,NORMAL
sick_eff15.png,NORMAL
sick_eff16.png,NORMAL
sick_eff17.png,NORMAL
sick_eff18.png,NORMAL
sick_eff19.png,NORMAL
sick_eff2.png,NORMAL
sick_eff20.png,NORMAL
sick_eff21.png,NORMAL
sick_eff22.png,NORMAL
sick_eff23.png,NORMAL
sick_eff24.png,NORMAL
sick_eff25.png,NORMAL
sick_eff26.png,NORMAL
sick_eff27.png,NORMAL
sick_eff28.png,NORMAL
sick_eff29.png,NORMAL
sick_eff3.png,NORMAL
sick_eff30.png,NORMAL
sick_eff31.png,NORMAL
sick_eff32.png,NORMAL
sick_eff33.png,NORMAL
sick_eff34.png,NORMAL
sick_eff35.png,NORMAL
sick_eff36.png,NORMAL
sick_eff37.png,NORMAL
sick_eff38.png,NORMAL
sick_eff39.png,NORMAL
sick_eff4.png,NORMAL
sick_eff40.png,NORMAL
sick_eff41.png,NORMAL
sick_eff42.png,NORMAL
sick_eff43.png,NORMAL
sick_eff44.png,NORMAL
sick_eff45.png,NORMAL
sick_eff46.png,NORMAL
sick_eff47.png,NORMAL
sick_eff48.png,NORMAL
sick_eff49.png,NORMAL
sick_eff5.png,NORMAL
sick_eff50.png,NORMAL
sick_eff51.png,NORMAL
sick_eff52.png,NORMAL
sick_eff53.png,NORMAL
sick_eff54.png,NORMAL
sick_eff55.png,NORMAL
sick_eff56.png,NORMAL
sick_eff57.png,NORMAL
sick_eff58.png,NORMAL
sick_eff59.png,NORMAL
sick_eff6.png,NORMAL
sick_eff60.png,NORMAL
sick_eff61.png,NORMAL
sick_eff62.png,NORMAL
sick_eff63.png,NORMAL
sick_eff64.png,NORMAL
sick_eff65.png,NORMAL
sick_eff66.png,NORMAL
sick_eff67.png,NORMAL
sick_eff68.png,NORMAL
sick_eff69.png,NORMAL
sick_eff7.png,NORMAL
sick_eff70.png,NORMAL
sick_eff71.png,NORMAL
sick_eff72.png,NORMAL
sick_eff73.png,NORMAL
sick_eff74.png,NORMAL
sick_eff75.png,NORMAL
sick_eff76.png,NORMAL
sick_eff77.png,NORMAL
sick_eff78.png,NORMAL
sick_eff79.png,NORMAL
sick_eff8.png,NORMAL
sick_eff80.png,NORMAL
sick_eff81.png,NORMAL
sick_eff82.png,NORMAL
sick_eff83.png,NORMAL
sick_eff84.png,NORMAL
sick_eff85.png,NORMAL
sick_eff86.png,NORMAL
sick_eff87.png,NORMAL
sick_eff88.png,NORMAL
sick_eff89.png,NORMAL
sick_eff9.png,NORMAL
sick_eff90.png,NORMAL
sick_eff91.png,NORMAL
sick_eff92.png,NORMAL
sick_eff93.png,NORMAL
sick_eff94.png,NORMAL
sick_eff95.png,NORMAL
sick_eff96.png,NORMAL
sick_eff97.png,NORMAL
sick_eff98.png,NORMAL
sick_eff99.png,NORMAL
sick_eif0.png,NORMAL
sick_eif1.png,NORMAL
sick_eif10.png,NORMAL
sick_eif100.png,NORMAL
sick_eif101.png,NORMAL
sick_eif102.png,NORMAL
sick_eif103.png,NORMAL
sick_eif104.png,NORMAL
sick_eif105.png,NORMAL
sick_eif106.png,NORMAL
sick_eif107.png,NORMAL
sick_eif108.png,NORMAL
sick_eif109.png,NORMAL
sick_eif11.png,NORMAL
sick_eif110.png,NORMAL
sick_eif111.png,NORMAL
sick_eif12.png,NORMAL
sick_eif13.png,NORMAL
sick_eif14.png,NORMAL
sick_eif15.png,NORMAL
sick_eif16.png,NORMAL
sick_eif17.png,NORMAL
sick_eif18.png,NORMAL
sick_eif19.png,NORMAL
sick_eif2.png,NORMAL
sick_eif20.png,NORMAL
sick_eif21.png,NORMAL
sick_eif22.png,NORMAL
sick_eif23.png,NORMAL
sick_eif24.png,NORMAL
sick_eif25.png,NORMAL
sick_eif26.png,NORMAL
sick_eif27.png,NORMAL
sick_eif28.png,NORMAL
sick_eif29.png,NORMAL
sick_eif3.png,NORMAL
sick_eif30.png,NORMAL
sick_eif31.png,NORMAL
sick_eif32.png,NORMAL
sick_eif33.png,NORMAL
sick_eif34.png,NORMAL
sick_eif35.png,NORMAL
sick_eif36.png,NORMAL
sick_eif37.png,NORMAL
sick_eif38.png,NORMAL
sick_eif39.png,NORMAL
sick_eif4.png,NORMAL
sick_eif40.png,NORMAL
sick_eif41.png,NORMAL
sick_eif42.png,NORMAL
sick_eif43.png,NORMAL
sick_eif44.png,NORMAL
sick_eif45.png,NORMAL
